,LGA,female born >=3 children,Income >= 1500/week,Income < 1500/week,Total mother,Total worker
0,Banyule ,11872.0,14180.0,84459.0,48225.0,94323.0
1,Bayside ,8921.0,18109.0,55907.0,36946.0,70509.0
2,Boroondara ,14197.0,32157.0,101784.0,65831.0,126786.0
3,Brimbank ,18324.0,8165.0,130713.0,68650.0,145750.0
4,Casey ,25113.0,15492.0,174832.0,93498.0,191271.0
5,Darebin ,10931.0,12750.0,98495.0,55380.0,111149.0
6,Frankston ,13277.0,8503.0,90884.0,49664.0,99851.0
7,Glen Eira ,9958.0,19434.0,88686.0,52864.0,103300.0
8,Greater Dandenong ,13130.0,4065.0,100138.0,51368.0,108544.0
9,Hobsons Bay ,7606.0,9253.0,58552.0,32624.0,67045.0
10,Hume ,18347.0,8823.0,115484.0,61706.0,128318.0
11,Kingston ,13319.0,14761.0,102063.0,57556.0,113772.0
12,Knox ,15557.0,13572.0,109046.0,60259.0,119121.0
13,Manningham ,11946.0,14101.0,80033.0,46437.0,90472.0
14,Maribyrnong ,4510.0,7542.0,50234.0,27096.0,58620.0
15,Maroondah ,11131.0,10067.0,74728.0,42158.0,81968.0
16,Melbourne ,2933.0,16006.0,67142.0,38891.0,86188.0
17,Monash ,14574.0,17991.0,125086.0,69297.0,139016.0
18,Moonee Valley ,10003.0,13932.0,75215.0,43748.0,86687.0
19,Moreland ,12145.0,13872.0,106718.0,59156.0,119825.0
20,Mornington Peninsula ,18150.0,12409.0,102512.0,57804.0,113862.0
21,Port Phillip ,3570.0,21386.0,60543.0,37785.0,80137.0
22,Stonnington ,6347.0,20688.0,60382.0,39442.0,78810.0
23,Whitehorse ,13981.0,18070.0,108021.0,62442.0,120913.0
24,Whittlesea ,15112.0,8618.0,110373.0,58980.0,121112.0
25,Wyndham ,14130.0,13199.0,108234.0,58776.0,122148.0
26,Yarra ,3472.0,14827.0,51051.0,31011.0,64430.0
