Age Pensioners-Count,Persons Aged 65 Years and Over,Age Pensioners-Percent,SAL2 Code,SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count?,Children in Welfare-Dependent and Other Low Income Families - Percent?,Disability Support Pensioners - Percent,Disability Support Pensioners - Percent,Health Care Card Holders - Count ,Health Care Card Holders - Percent,Pensioner Concession Card Holders - Count,Pensioner Concession Card Holders - Percent,Seniors Health Card Holders - Count,Seniors Health Card Holders - Percent,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Percent,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Percent,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Percent,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Percent,Total Families
710.5793826,900.3721058,78.92063492,208031187,Chelsea Heights,159.2086549,15.93559517,5.192974973,186.6485667,320.1323043,6.969508401,1031.569184,22.72240761,50.87816979,5.650793651,117.19129,3.260520274,14.86328556,2.870263618,161.2094818,4.485203499,101.4705072,7.352941176,1379.998897
1382,1962,70.43832824,212041313,Dingley Village,577,29.19086035,2.89184765,192,511,5.93082637,1715,19.57539094,222,11.31498471,117,1.762219662,null,null,160,2.409873042,317,10.82280642,2929
1146.447077,2125.974657,53.92571697,206051130,Port Melbourne,309.8505613,14.45816876,4.55546336,560.7295641,611.704979,4.23265786,1953.058054,13.45266781,275.8669513,12.97602257,276.8664693,2.249310786,31.98457407,3.002204628,356.8279044,2.898931229,199.9035879,5.28262018,3784.174919
476.2821746,1963.043963,24.26243037,206061135,Armadale,60.75027737,5.018450597,1.708351556,107.32549,299.7013683,3.999783795,632.2078865,7.596107056,250.6961446,12.77078605,87.07539756,1.386021074,null,null,117.4505362,1.869516797,40.50018491,1.862197393,2174.85993
712,868,82.02764977,213011339,Sydenham,563,19.77559842,4.219233192,361,1032,9.050249934,1501,15.59966743,39,4.493087558,337,3.938730154,65,3.936871777,438,5.119180437,302,10.08347245,2995
1375,1778,77.33408324,213011340,Taylors Lakes,638,18.41003085,3.100545668,418,1389,8.19614091,2254,14.48027753,127,7.142857143,364,2.699996706,73,2.350669736,488,3.619775803,332,6.697599354,4957
1891,2482,76.18855761,213021341,Altona,297,14.49472008,5.466370896,446,682,6.681034483,2595,24.13055607,204,8.219178082,277,3.395033045,39,3.571500453,374,4.583907433,177,5.321707757,3326
1844,2309,79.86141187,213021342,Altona Meadows,1006,29.52824373,5.440548275,744,1647,9.641728135,3332,20.5755218,80,3.464703335,620,4.533790229,99,3.895962329,783,5.725738306,558,10.86237103,5137
2091.884799,2576.420985,81.19343891,206011105,Brunswick,365.041548,12.20096662,3.883102844,775.2578983,2048.167248,8.921826896,3283.188054,14.49573749,133.3385295,5.175339367,665.9640216,3.335672932,76.50571365,2.269893363,877.9941423,4.397686961,222.2308825,4.224961906,5259.94997
779.1152012,959.5790148,81.19343891,206011106,Brunswick East,135.958452,12.20096662,3.883102844,288.7421017,762.8327518,8.921826896,1222.811946,14.49573749,49.6614705,5.175339367,248.0359784,3.335672932,28.49428635,2.269893363,327.0058577,4.397686961,82.76911751,4.224961906,1959.05003
669,943,70.94379639,206031115,Flemington,529,31.64790904,6.540965483,470,1066,12.03567799,1542,18.80946572,48,5.090137858,442,6.151290944,44,3.104092421,536,7.459484041,266,12.71510516,2092
92.44740074,387.7372668,23.84279476,206041118,Docklands,38.6044091,8.913062881,0.925119635,64.679317,232.9809953,3.137970353,189.6356938,2.562225476,60.95433016,15.72052402,70.43611485,1.007460126,8.465879188,0.541010969,103.9609964,1.486972398,29.79989474,2.278612118,1307.809017
187.1484912,864.2121434,21.65538782,206041119,East Melbourne,37.78959919,8.872029563,1.19585381,48.58662753,142.6107493,3.176989377,246.9820233,4.985923168,101.6720169,11.76470588,47.23699899,1.162635649,null,null,64.78217004,1.594471747,26.09281849,2.416666667,1079.702834
4.888934259,6.322172315,77.32997481,206041120,Flemington Racecourse,4.904859126,40.07133022,4.020224926,2.675377705,5.76480196,7.31682668,8.941812985,12.19326819,0.41404655,6.549118388,2.094120049,3.146783201,null,null,2.563903634,3.852715554,2.404654961,12.64656616,19.01429155
951.7091282,1150.345666,82.73244782,213031351,West Footscray - Tottenham,402.5118423,23.90702213,5.408963728,470.1792344,1166.935092,11.2462134,1748.4381,17.61833539,38.41761618,3.339658444,513.8356164,5.911188773,52.82422225,3.553188032,640.4391243,7.367641401,241.8563564,10.22517534,2365.302778
874,1128,77.4822695,213041358,Melton West,1352,33.44910001,5.53947505,594,1468,9.942431426,2299,18.97960868,45,3.989361702,528,4.923977822,138,6.472680932,690,6.434743745,687,17.92797495,3832
248.8929292,313.965379,79.27400468,213041359,Rockbank - Mount Cottrell,261.7603628,38.879015,7.817306111,160.8061555,293.5245417,10.75054534,587.9314216,24.4227245,9.558664934,3.044496487,126.6890745,6.158764714,30.88184056,7.932926094,161.762022,7.863773866,135.5124575,19.38571579,699.0325194
228.8515088,1056.787857,21.65538782,206041125,South Yarra - West,46.21040081,8.872029563,1.19585381,59.41337247,174.3892507,3.176989377,302.0179767,4.985923168,124.3279831,11.76470588,57.76300101,1.162635649,null,null,79.21782996,1.594471747,31.90718151,2.416666667,1320.297166
1315.706056,2332.808299,56.40009326,206061136,Prahran - Windsor,228.4400759,12.58927819,3.253271946,530.307319,995.8899499,5.497507957,2098.385269,11.21772505,201.7887337,8.650034973,357.3455473,2.192204789,33.72210644,1.369915137,494.9534978,3.03638715,151.749479,3.95240119,3839.42499
688.2420099,817.4120682,84.19768151,213041360,Taylors Hill,793.4732157,16.18300771,2.857558611,323.174509,1182.978295,7.296665436,1445.308221,11.64650565,39.39936143,4.820012203,304.2229174,2.689985729,49.87260941,2.603014135,409.9528494,3.624866015,423.91718,10.07228345,4208.749508
414.1407636,648.467954,63.86449184,206071141,Collingwood,505.6748223,56.45664292,6.857793625,398.6816781,707.0497516,10.53844288,1111.426882,17.10386277,46.78407447,7.21455458,336.4385181,5.78713809,29.69771684,3.839457123,421.8703063,7.256665296,268.9067237,19.6084248,1371.383609
603.8592364,945.532046,63.86449184,206071142,Fitzroy,737.3251777,56.45664292,6.857793625,581.3183219,1030.950248,10.53844288,1620.573118,17.10386277,68.21592553,7.21455458,490.5614819,5.78713809,43.30228316,3.839457123,615.1296937,7.256665296,392.0932763,19.6084248,1999.616391
1714.853002,2290.101428,74.88109394,214011374,Langwarrin,1060.63556,19.07928432,3.216436954,528.2754781,1543.299625,7.020314629,2795.230816,14.6705731,151.1303558,6.599286564,434.3295812,2.644441723,82.37285161,2.744962213,587.5022392,3.577042644,590.2253086,9.274711168,6363.813362
1158.348251,3171.167471,36.52750166,208011170,Brighton East,174.845019,5.288311409,1.982989124,200.4833511,476.6207969,3.552520284,1429.862391,10.60771413,526.6365595,16.60702452,113.9014426,1.126603884,11.76841474,0.64285134,148.3660858,1.467495096,104.2345305,2.537603602,4107.597044
1381.40664,1825.450906,75.6748174,206011107,Brunswick West,317.6713549,13.52184407,4.238359624,417.9581147,947.2171421,7.757311052,2057.9075,17.44900467,123.47445,6.76405208,325.7870464,3.303686697,38.83938098,2.291147906,434.1894978,4.402956114,179.1249063,5.441098785,3292.072307
1158,1671,69.29982047,208011171,Cheltenham - Highett (West),254,11.07594492,4.283401412,297,484,5.245475236,1604,18.40082597,126,7.540394973,164,2.365245224,24,2.210470022,229,3.302689978,153,5.555555556,2754
2968,3405,87.16593245,206011108,Coburg,742,15.81208385,5.535742846,1046,2149,9.110564694,4682,20.78948537,172,5.051395007,704,3.725777212,101,3.04456546,920,4.868913402,438,6.925996205,6324
1001.59336,1323.549094,75.6748174,206011109,Pascoe Vale South,230.3286451,13.52184407,4.238359624,303.0418853,686.7828579,7.757311052,1492.0925,17.44900467,89.52555002,6.76405208,236.2129536,3.303686697,28.16061902,2.291147906,314.8105022,4.402956114,129.8750937,5.441098785,2386.927693
800.8864542,1075.054299,74.4973026,206021110,Alphington - Fairfield,127.593497,8.34790773,3.984860045,250.1781583,551.7627876,7.067841826,1178.130864,15.88187213,81.45948464,7.577243747,181.3725742,2.888918557,14.23563809,1.668139141,242.7967164,3.867287778,82.25035343,4.022173521,2044.92305
826,1050,78.66666667,212031302,Cranbourne North,982,22.6457213,4.236597108,478,1474,9.437223894,1889,14.99920597,29,2.761904762,452,4.006154588,94,4.287069469,586,5.193819886,510,12.69920319,4016
2237.113546,3002.945701,74.4973026,206021111,Northcote,356.406503,8.34790773,3.984860045,698.8218417,1541.237212,7.067841826,3290.869136,15.88187213,227.5405154,7.577243747,506.6274258,2.888918557,39.76436191,1.668139141,678.2032836,3.867287778,229.7496466,4.022173521,5712.07695
