SAL2 Name,Children in Welfare-Dependent and Other Low Income Families - Count,Children in Welfare-Dependent and Other Low Income Families - Total,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Total,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Total,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Total,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Total 
Chelsea Heights,159.2086549,999.0756743,117.19129,3594.251228,14.86328556,517.8369494,161.2094818,3594.251227,101.4705072,1379.998898
Dingley Village,577,1976.646091,117,6639.353908,null,#VALUE!,160,6639.353908,317,2929
Port Melbourne,309.8505613,2143.083031,276.8664693,12308.94686,31.98457407,1065.369554,356.8279044,12308.94686,199.9035879,3784.174919
Armadale,60.75027737,1210.538516,87.07539756,6282.400693,null,#VALUE!,117.4505362,6282.400692,40.50018491,2174.85993
Sydenham,563,2846.942925,337,8556.057075,65,1651.057075,438,8556.057076,302,2995.000001
Taylors Lakes,638,3465.502069,364,13481.49793,73,3105.49793,488,13481.49793,332,4957
Altona,297,2049.021977,277,8158.978023,39,1091.978022,374,8158.978022,177,3326
Altona Meadows,1006,3406.907668,620,13675.09233,99,2541.092332,783,13675.09233,558,5137.000002
Brunswick,365.041548,2991.906784,665.9640216,19964.90769,76.50571365,3370.454088,877.9941423,19964.90769,222.2308825,5259.94997
Brunswick East,135.958452,1114.325252,248.0359784,7435.860273,28.49428635,1255.313876,327.0058577,7435.860274,82.76911751,1959.050031
Flemington,529,1671.516432,442,7185.483568,44,1417.483568,536,7185.483568,266,2092
Docklands,38.6044091,433.1216958,70.43611485,6991.454355,8.465879188,1564.825793,103.9609964,6991.45435,29.79989474,1307.809017
East Melbourne,37.78959919,425.9408619,47.23699899,4062.923671,null,#VALUE!,64.78217004,4062.923671,26.09281849,1079.702834
Flemington Racecourse,4.904859126,12.2403202,2.094120049,66.54796073,null,#VALUE!,2.563903634,66.54796073,2.404654961,19.01429155
West Footscray - Tottenham,402.5118423,1683.655288,513.8356164,8692.59359,52.82422225,1486.671175,640.4391243,8692.593592,241.8563564,2365.302778
Melton West,1352,5655.242182,528,10723.03774,138,2132.037736,690,10723.03774,687,3832
Rockbank - Mount Cottrell,261.7603628,673.2690188,126.6890745,2057.053328,30.88184056,389.286881,161.762022,2057.053328,135.5124575,699.0325194
South Yarra - West,46.21040081,520.8549011,57.76300101,4968.280567,null,#VALUE!,79.21782996,4968.280567,31.90718151,1320.297166
Prahran - Windsor,228.4400759,1814.560553,357.3455473,16300.73746,33.72210644,2461.620105,494.9534978,16300.73747,151.749479,3839.42499
Taylors Hill,793.4732157,4903.125735,304.2229174,11309.46213,49.87260941,1915.95615,409.9528494,11309.46213,423.91718,4208.749507
Collingwood,505.6748223,895.6870195,336.4385181,5813.556077,29.69771684,773.4873939,421.8703063,5813.556077,268.9067237,1371.383609
Fitzroy,737.3251777,1306.002517,490.5614819,8476.754387,43.30228316,1127.823069,615.1296937,8476.754385,392.0932763,1999.616391
Langwarrin,1060.63556,5559.095101,434.3295812,16424.24476,82.37285161,3000.873791,587.5022392,16424.24477,590.2253086,6363.813362
Brighton East,174.845019,3306.254218,113.9014426,10110.15888,11.76841474,1830.658818,148.3660858,10110.15888,104.2345305,4107.597042
Brunswick West,317.6713549,2349.319762,325.7870464,9861.317863,38.83938098,1695.19309,434.1894978,9861.317864,179.1249063,3292.072307
Clayton South,254,2293.258064,164,6933.741937,24,1085.741935,229,6933.741935,153,2754
Coburg,742,4692.613618,704,18895.38638,101,3317.386383,920,18895.38638,438,6324
Pascoe Vale South,230.3286451,1703.381905,236.2129536,7149.980469,28.16061902,1229.105242,314.8105022,7149.980469,129.8750937,2386.927693
Alphington - Fairfield,127.593497,1528.448818,181.3725742,6278.216939,14.23563809,853.3843335,242.7967164,6278.21694,82.25035343,2044.92305
Cranbourne North,982,4336.359999,452,11282.64,94,2192.64,586,11282.64,510,4015.999999
Northcote,356.406503,4269.411145,506.6274258,17536.9231,39.76436191,2383.755703,678.2032836,17536.9231,229.7496466,5712.07695
Hampton,395,3997.736842,204,11301.26315,null,#VALUE!,263,11301.26316,233,4465
Thornbury,428,3045,499,13464,49,1792,632,13464,272,4328
Southbank,75.3955909,845.8999101,137.5638852,13654.52405,16.53412081,3056.152603,203.0390036,13654.52404,58.20010526,2554.190983
Ascot Vale,478,2756.486063,503,10257.51394,44,1653.513937,595,10257.51394,285,3449
West Melbourne,0,0,0,0,0,0,0,0,0,0
Essendon - Aberfeldie,343.3688141,4652.819499,347.8953334,18165.36383,42.67860967,3284.755254,461.7049591,18165.36382,212.0997571,6220.084035
