,LGA(Number of Children),0,1,2,3,4,5,6+,Not Stated,Total
0,Banyule ,16541.0,5825.0,13987.0,7705.0,2655.0,849.0,663.0,2433.0,50658.0
1,Bayside ,11540.0,4552.0,11933.0,6332.0,1822.0,462.0,305.0,2244.0,39190.0
2,Boroondara ,26785.0,7041.0,17808.0,9819.0,3006.0,822.0,550.0,3247.0,69078.0
3,Brimbank ,22643.0,8748.0,18935.0,10963.0,4263.0,1528.0,1570.0,5705.0,74355.0
4,Casey ,28419.0,12368.0,27598.0,15226.0,6048.0,2232.0,1607.0,5035.0,98533.0
5,Darebin ,24558.0,7070.0,12821.0,6670.0,2485.0,913.0,863.0,3822.0,59202.0
6,Frankston ,15409.0,6552.0,14426.0,8314.0,3256.0,1058.0,649.0,3111.0,52775.0
7,Glen Eira ,20799.0,7272.0,14835.0,6867.0,2024.0,563.0,504.0,2971.0,55835.0
8,Greater Dandenong ,17041.0,7795.0,13402.0,7240.0,3177.0,1305.0,1408.0,3798.0,55166.0
9,Hobsons Bay ,11522.0,4435.0,9061.0,4761.0,1713.0,581.0,551.0,2204.0,34828.0
10,Hume ,19686.0,7101.0,16572.0,10453.0,4513.0,1712.0,1669.0,4155.0,65861.0
11,Kingston ,19183.0,7843.0,17211.0,8715.0,2995.0,903.0,706.0,3038.0,60594.0
12,Knox ,19154.0,7053.0,18495.0,10164.0,3672.0,1074.0,647.0,2325.0,62584.0
13,Manningham ,14346.0,5423.0,14722.0,8227.0,2627.0,690.0,402.0,2001.0,48438.0
14,Maribyrnong ,12792.0,3986.0,5808.0,2620.0,982.0,412.0,496.0,2344.0,29440.0
15,Maroondah ,13692.0,5133.0,12202.0,7262.0,2600.0,771.0,498.0,1908.0,44066.0
16,Melbourne ,28828.0,3389.0,3741.0,1772.0,667.0,257.0,237.0,4719.0,43610.0
17,Monash ,25085.0,9194.0,20444.0,9681.0,3208.0,958.0,727.0,3532.0,72829.0
18,Moonee Valley ,17145.0,5064.0,11536.0,6448.0,2173.0,725.0,657.0,2676.0,46424.0
19,Moreland ,26554.0,7242.0,13215.0,7125.0,2920.0,1081.0,1019.0,4364.0,63520.0
20,Mornington Peninsula ,14673.0,6551.0,18430.0,11566.0,4505.0,1288.0,791.0,3825.0,61629.0
21,Port Phillip ,23563.0,4568.0,6084.0,2371.0,769.0,227.0,203.0,3355.0,41140.0
22,Stonnington ,20831.0,4057.0,8207.0,4442.0,1380.0,326.0,199.0,2937.0,42379.0
23,Whitehorse ,22808.0,7977.0,17676.0,9147.0,3148.0,979.0,707.0,3330.0,65772.0
24,Whittlesea ,18842.0,7157.0,17869.0,9819.0,3377.0,1068.0,848.0,3478.0,62458.0
25,Wyndham ,19725.0,8868.0,16053.0,8734.0,3342.0,1144.0,910.0,3594.0,62370.0
26,Yarra ,19258.0,3442.0,4839.0,2102.0,747.0,268.0,355.0,2584.0,33595.0
